#GENE	CTX-M-XDP1
0610005C13Rik	0
0610006L08Rik	0
0610009B22Rik	342
0610009E02Rik	12
0610009L18Rik	25
0610010F05Rik	1565
0610010K14Rik	9
0610012D04Rik	0
0610012G03Rik	906
0610025J13Rik	1
0610030E20Rik	202
0610031O16Rik	1
0610033M10Rik	3
0610038B21Rik	7
0610039K10Rik	0
0610040B10Rik	51
0610040F04Rik	24
0610040J01Rik	336
0610043K17Rik	3
0710001A04Rik	0
1010001B22Rik	5
1100001I12Rik	0
1110002E22Rik	206
1110002J07Rik	20
1110002L01Rik	329
1110002O04Rik	2
1110003F10Rik	0
1110004F10Rik	2599
1110006O24Rik	15
1110008E08Rik	0
1110008P14Rik	4222
1110012L19Rik	355
1110013H19Rik	18
1110015O18Rik	32
1110017D15Rik	30
1110018N20Rik	214
1110019B22Rik	0
1110019D14Rik	35
1110020A21Rik	5
1110025L11Rik	0
1110025M09Rik	19
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	1199
1110032F04Rik	457
1110035H17Rik	5
1110038B12Rik	111
1110038F14Rik	308
1110046J04Rik	61
1110051M20Rik	1880
1110057P08Rik	0
1110059E24Rik	433
1110059G10Rik	329
1110060G06Rik	3
1110065P20Rik	892
1190001M18Rik	0
1190005I06Rik	30
1190007I07Rik	97
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	73
1300014J16Rik	0
1300017J02Rik	1
1500002C15Rik	25
1500002F19Rik	12
1500004A13Rik	1614
1500005C15Rik	0
1500009C09Rik	3614
1500009L16Rik	206
1500011B03Rik	2807
1500012K07Rik	12
1500015A07Rik	37
1500015L24Rik	0
1500026H17Rik	53
1500032F14Rik	0
1500035N22Rik	71
1520401A03Rik	0
1600002D24Rik	5
1600010M07Rik	1
1600012H06Rik	438
1600012P17Rik	0
1600014C10Rik	821
1600014C23Rik	4
1600017P15Rik	1
1600019K03Rik	0
1600020E01Rik	124
1600022D10Rik	3
1600023N17Rik	2
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	15
1700001C19Rik	2
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	0
1700001G11Rik	6
1700001G17Rik	15
1700001J03Rik	0
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	1
1700001K23Rik	0
1700001L05Rik	265
1700001L19Rik	354
1700001N15Rik	0
1700001O22Rik	48
1700001P01Rik	0
1700003C15Rik	0
1700003D09Rik	1
1700003E16Rik	1005
1700003E24Rik	0
1700003F12Rik	4
1700003G18Rik	0
1700003H04Rik	0
1700003I16Rik	0
1700003I22Rik	0
1700003L19Rik	1
1700003M07Rik	124
1700003N22Rik	1
1700003O11Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H21Rik	0
1700006J14Rik	0
1700006P03Rik	0
1700007E05Rik	0
1700007F19Rik	0
1700007H22Rik	0
1700007J10Rik	0
1700007K13Rik	57
1700007L15Rik	13
1700007M16Rik	0
1700007P06Rik	28
1700008A23Rik	1
1700008B11Rik	0
1700008C04Rik	0
1700008H02Rik	0
1700008J07Rik	77
1700008K24Rik	0
1700008N11Rik	0
1700008O03Rik	26
1700008P02Rik	0
1700009C05Rik	3
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010B13Rik	3
1700010D01Rik	0
1700010G06Rik	0
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	13
1700010J16Rik	0
1700010K23Rik	0
1700010K24Rik	1
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	0
1700011D18Rik	1
1700011L03Rik	0
1700011L22Rik	0
1700011M02Rik	0
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	4
1700012C08Rik	0
1700012C14Rik	3
1700012D14Rik	16
1700012D16Rik	0
1700012E03Rik	0
1700012I11Rik	0
1700012J15Rik	0
1700012J22Rik	0
1700012P22Rik	0
1700013A02Rik	0
1700013D24Rik	0
1700013F07Rik	12
1700013G24Rik	0
1700013H16Rik	0
1700013M08Rik	0
1700013N06Rik	0
1700014D04Rik	9
1700014F14Rik	0
1700014L14Rik	0
1700015C15Rik	0
1700015C17Rik	0
1700015F17Rik	0
1700015G11Rik	0
1700015H07Rik	0
1700015I17Rik	0
1700015O11Rik	0
1700016A09Rik	13
1700016B01Rik	0
1700016B15Rik	0
1700016C15Rik	0
1700016D06Rik	0
1700016D08Rik	0
1700016F12Rik	0
1700016G22Rik	0
1700016H03Rik	0
1700016H13Rik	0
1700016J18Rik	0
1700016K05Rik	0
1700016K19Rik	60
1700016L21Rik	0
1700016P03Rik	70
1700016P04Rik	0
1700017B05Rik	290
1700017G19Rik	1
1700017I07Rik	0
1700017J07Rik	0
1700017L05Rik	0
1700017M07Rik	3
1700017N19Rik	0
1700018A04Rik	9
1700018A14Rik	1
1700018A23Rik	0
1700018B08Rik	0
1700018B24Rik	0
1700018F24Rik	0
1700018G05Rik	0
1700018L02Rik	5
1700018M17Rik	0
1700018P08Rik	0
1700019A02Rik	3
1700019A23Rik	0
1700019C18Rik	0
1700019D03Rik	399
1700019E08Rik	0
1700019F05Rik	0
1700019G24Rik	0
1700019J19Rik	0
1700019L13Rik	2
1700019M22Rik	0
1700019N19Rik	1
1700019P21Rik	0
1700020A23Rik	0
1700020D05Rik	0
1700020D12Rik	0
1700020G03Rik	0
1700020G17Rik	0
1700020L24Rik	6
1700020M21Rik	0
1700020N01Rik	2
1700020N15Rik	0
1700020N18Rik	2
1700021A07Rik	0
1700021F02Rik	0
1700021F07Rik	0
1700021F13Rik	0
1700021G15Rik	0
1700021J08Rik	0
1700021L23Rik	0
1700021N21Rik	1
1700021P04Rik	0
1700022A21Rik	0
1700022A22Rik	0
1700022E09Rik	0
1700022H01Rik	0
1700022H16Rik	0
1700022I11Rik	1
1700022N22Rik	6
1700023B13Rik	0
1700023C21Rik	0
1700023F02Rik	7
1700023G09Rik	0
1700023H06Rik	0
1700024B05Rik	0
1700024B18Rik	0
1700024G13Rik	0
1700024I08Rik	0
1700024J04Rik	0
1700025A08Rik	0
1700025B11Rik	0
1700025C18Rik	0
1700025D23Rik	0
1700025F24Rik	0
1700025G04Rik	4429
1700025H01Rik	0
1700025J12Rik	4
1700025K04Rik	0
1700025K24Rik	0
1700025L06Rik	0
1700025M24Rik	0
1700025N21Rik	0
1700025N23Rik	0
1700025O08Rik	0
1700026D11Rik	0
1700026F02Rik	0
1700026J12Rik	0
1700026J14Rik	6
1700026N04Rik	0
1700027A07Rik	1
1700027A15Rik	0
1700027F06Rik	0
1700027F09Rik	0
1700027H10Rik	0
1700027I24Rik	0
1700027J07Rik	0
1700028B04Rik	1
1700028D13Rik	0
1700028E10Rik	32
1700028I16Rik	1
1700028J19Rik	21
1700028K03Rik	17
1700028M03Rik	0
1700028N14Rik	0
1700028P14Rik	20
1700028P15Rik	0
1700029B22Rik	0
1700029B24Rik	0
1700029E06Rik	0
1700029F12Rik	0
1700029H14Rik	0
1700029I15Rik	24
1700029J03Rik	0
1700029J07Rik	22
1700029M03Rik	0
1700029M20Rik	0
1700029N11Rik	0
1700029P11Rik	0
1700030A11Rik	0
1700030C10Rik	12
1700030C12Rik	1
1700030C14Rik	3
1700030E10Rik	0
1700030F04Rik	7
1700030I03Rik	0
1700030J22Rik	237
1700030K09Rik	129
1700030L20Rik	0
1700030L22Rik	0
1700030M09Rik	0
1700030N03Rik	0
1700030N18Rik	0
1700030O20Rik	0
1700031A10Rik	0
1700031F05Rik	0
1700031F10Rik	0
1700031L13Rik	0
1700031M16Rik	0
1700031P21Rik	0
1700034B16Rik	0
1700034E13Rik	0
1700034G24Rik	0
1700034H15Rik	56
1700034I23Rik	0
1700034J04Rik	0
1700034J05Rik	0
1700034K08Rik	0
1700034P13Rik	3
1700036A12Rik	2
1700036G14Rik	0
1700036O09Rik	0
1700037C06Rik	0
1700037C18Rik	147
1700037F03Rik	1
1700037H04Rik	1071
1700039E22Rik	0
1700039I01Rik	0
1700039M10Rik	0
1700039M15Rik	0
1700040D17Rik	4
1700040E09Rik	0
1700040F15Rik	0
1700040F17Rik	0
1700040K01Rik	0
1700040L08Rik	2
1700041B01Rik	0
1700041C23Rik	0
1700041G16Rik	1
1700041I07Rik	0
1700041M05Rik	0
1700041M19Rik	1
1700042D02Rik	0
1700042G07Rik	0
1700042G15Rik	0
1700042O05Rik	0
1700042O10Rik	0
1700044C05Rik	0
1700044K03Rik	0
1700045H11Rik	0
1700045I11Rik	0
1700046C09Rik	0
1700047A11Rik	0
1700047E10Rik	0
1700047F07Rik	37
1700047G03Rik	0
1700047G07Rik	0
1700047K16Rik	4
1700047L14Rik	0
1700047M11Rik	13
1700047N06Rik	0
1700047O18Rik	0
1700048F04Rik	2
1700048M11Rik	0
1700048O14Rik	0
1700048O20Rik	59
1700048P04Rik	0
1700049E15Rik	0
1700049E17Rik1	0
1700049E17Rik2	0
1700049E22Rik	0
1700049L16Rik	0
1700051A21Rik	3
1700051K13Rik	0
1700051O22Rik	0
1700052H01Rik	0
1700052I22Rik	0
1700052K11Rik	216
1700054A03Rik	1
1700054K02Rik	0
1700054K19Rik	0
1700054M17Rik	0
1700054O05Rik	0
1700054O19Rik	0
1700055C04Rik	0
1700055D18Rik	6
1700056E22Rik	8
1700056N10Rik	44
1700057G04Rik	0
1700057H15Rik	0
1700057H21Rik	0
1700058P15Rik	0
1700060C16Rik	0
1700060C20Rik	0
1700060J05Rik	0
1700060O08Rik	0
1700061A03Rik	1
1700061E17Rik	1
1700061E18Rik	0
1700061F12Rik	0
1700061H18Rik	0
1700061I17Rik	0
1700061J23Rik	0
1700061N14Rik	0
1700062C10Rik	0
1700063A18Rik	0
1700063D05Rik	12
1700063H04Rik	0
1700063H06Rik	0
1700063I16Rik	0
1700063J08Rik	1
1700063K16Rik	0
1700063O14Rik	0
1700064H15Rik	2
1700064J06Rik	0
1700064M15Rik	2
1700065D16Rik	9
1700065I16Rik	0
1700065J11Rik	0
1700065J18Rik	0
1700065L07Rik	0
1700065O20Rik	0
1700066B17Rik	0
1700066B19Rik	0
1700066C05Rik	0
1700066J03Rik	0
1700066M21Rik	683
1700066N21Rik	0
1700066O22Rik	0
1700067G17Rik	0
1700067K01Rik	0
1700067P10Rik	0
1700069B07Rik	1
1700069L16Rik	0
1700069P05Rik	0
1700071G01Rik	0
1700071K01Rik	0
1700071M16Rik	0
1700072B07Rik	0
1700072G22Rik	0
1700072O05Rik	0
1700073E17Rik	0
1700074A21Rik	0
1700074H08Rik	0
1700074P13Rik	0
1700080C20Rik	0
1700080N15Rik	0
1700080O16Rik	0
1700081B01Rik	2
1700081H04Rik	0
1700081N11Rik	2
1700082M22Rik	2
1700083H02Rik	0
1700084C06Rik	1
1700084D21Rik	0
1700084E18Rik	17
1700084F23Rik	0
1700084J12Rik	0
1700084M14Rik	0
1700085C21Rik	0
1700085D07Rik	0
1700086D15Rik	2
1700086L19Rik	873
1700086O06Rik	112
1700086P04Rik	0
1700087I21Rik	91
1700087M22Rik	0
1700088E04Rik	96
1700091H14Rik	0
1700092C02Rik	0
1700092C10Rik	0
1700092C17Rik	0
1700092E16Rik	0
1700092E19Rik	0
1700092K14Rik	3
1700092M07Rik	0
1700093J21Rik	0
1700093K21Rik	0
1700094D03Rik	17
1700094J05Rik	0
1700094M23Rik	0
1700094M24Rik	0
1700095A13Rik	0
1700095A21Rik	0
1700095B10Rik	0
1700095J03Rik	0
1700095J07Rik	0
1700095J12Rik	0
1700095K22Rik	0
1700096J18Rik	2
1700096K18Rik	44
1700097M23Rik	2
1700097N02Rik	0
1700099I09Rik	0
1700100I10Rik	0
1700100L14Rik	0
1700101I11Rik	70
1700101I19Rik	0
1700101O22Rik	0
1700102F20Rik	0
1700102H20Rik	2
1700102P08Rik	12
1700104B16Rik	0
1700104L18Rik	0
1700105G05Rik	0
1700105P06Rik	4
1700106O07Rik	0
1700108F19Rik	2
1700108J01Rik	0
1700108N06Rik	0
1700108N11Rik	0
1700109G14Rik	0
1700109G15Rik	0
1700109H08Rik	8
1700109I08Rik	0
1700109K24Rik	0
1700110C19Rik	3
1700110I01Rik	0
1700110I07Rik	0
1700110K17Rik	0
1700111E14Rik	0
1700111N16Rik	0
1700112D23Rik	17
1700112H15Rik	0
1700112J05Rik	0
1700112J16Rik	10
1700112K13Rik	0
1700112L15Rik	0
1700112M02Rik	0
1700113A16Rik	30
1700113B09Rik	0
1700113B19Rik	0
1700113H08Rik	0
1700116B05Rik	0
1700116H05Rik	0
1700119H24Rik	0
1700119I11Rik	0
1700120B22Rik	0
1700120C14Rik	24
1700120C18Rik	0
1700120E14Rik	0
1700120G07Rik	0
1700120G11Rik	0
1700120K04Rik	0
1700120O09Rik	0
1700121C08Rik	0
1700121L03Rik	0
1700121L16Rik	0
1700121N20Rik	1
1700122C19Rik	0
1700122D07Rik	0
1700122E12Rik	0
1700122H20Rik	0
1700122O11Rik	0
1700123J17Rik	0
1700123K08Rik	0
1700123L14Rik	0
1700123M08Rik	49
1700123O12Rik	0
1700123O20Rik	550
1700123O21Rik	0
1700124L16Rik	12
1700124M09Rik	0
1700125G02Rik	0
1700125G22Rik	0
1700125H03Rik	0
1700125H20Rik	1
1700126A01Rik	0
1700126G02Rik	0
1700126H18Rik	0
1700127F24Rik	0
1700128A07Rik	0
1700128E19Rik	0
1700128F08Rik	0
1700128I11Rik	0
1700129C05Rik	0
1700129L04Rik	0
1810006J02Rik	0
1810007C17Rik	0
1810007D17Rik	0
1810008B01Rik	0
1810008I18Rik	0
1810009A15Rik	11
1810009J06Rik	0
1810010H24Rik	63
1810010K12Rik	5
1810012K08Rik	0
1810012K16Rik	0
1810013D15Rik	1
1810013L24Rik	1878
1810014B01Rik	69
1810014P07Rik	0
1810017P11Rik	0
1810018F18Rik	0
1810019D21Rik	0
1810019N24Rik	3
1810020O05Rik	14
1810021B22Rik	30
1810024B03Rik	1
1810026B05Rik	148
1810028F09Rik	0
1810030O07Rik	363
1810034E14Rik	1
1810035K13Rik	0
1810037I17Rik	1321
1810041H14Rik	4
1810044D09Rik	35
1810044K17Rik	0
1810046K07Rik	0
1810049I09Rik	0
1810049J17Rik	9
1810053B23Rik	0
1810055G02Rik	917
1810058I24Rik	715
1810058N15Rik	0
1810059C17Rik	2
1810059H22Rik	12
1810062G17Rik	2
1810062O18Rik	41
1810063I02Rik	0
1810064F22Rik	0
1810065E05Rik	0
1810073O08Rik	1
2010001A14Rik	71
2010001K21Rik	2
2010001M07Rik	0
2010003K11Rik	0
2010007H06Rik	4
2010008C14Rik	7
2010009K17Rik	0
2010010A06Rik	0
2010013B24Rik	3
2010016I18Rik	0
2010103J01Rik	0
2010106C02Rik	0
2010106E10Rik	0
2010106G04Rik	0
2010109A12Rik	1
2010109P13Rik	0
2010110E17Rik	0
2010110G14Rik	0
2010110K18Rik	0
2010203P06Rik	0
2010204K13Rik	164
2010300C02Rik	5230
2010308F09Rik	13
2010309G21Rik	0
2010310C07Rik	0
2010315B03Rik	159
2010320M18Rik	201
2010320O07Rik	5
2200002A13Rik	0
